lead_time,variable,level,acc,rmse
114,mean_sea_level_pressure,surface,0.23071641502320897,1779.415974808568
120,mean_sea_level_pressure,surface,0.22003600594091102,1863.749101266328
6,geopotential,250,0.9936684103186935,134.36840735491444
12,geopotential,250,0.9648637440541781,324.14860070637945
18,geopotential,250,0.9390544102886907,432.8190949985347
24,geopotential,250,0.880368429227977,622.247785199348
30,geopotential,250,0.8539090404221485,681.7729184888224
36,geopotential,250,0.7908359197844773,830.707002580143
42,geopotential,250,0.7573621792336309,882.8464753699254
48,geopotential,250,0.7046578468480378,997.7878038240367
54,geopotential,250,0.6931680736924323,1000.6861553978842
60,geopotential,250,0.6407717625211604,1112.2344807525749
66,geopotential,250,0.614857512763706,1142.5442219376637
72,geopotential,250,0.5770919446071054,1233.8602929332317
78,geopotential,250,0.5739826557260728,1217.7204106140703
84,geopotential,250,0.5453110091820933,1298.606038712684
90,geopotential,250,0.5401113936226214,1302.0755906516013
96,geopotential,250,0.51948135330232,1376.0357968956337
102,geopotential,250,0.5340544310067269,1339.323382547662
108,geopotential,250,0.5113134006814556,1412.4939111229685
114,geopotential,250,0.5101162747088162,1414.840333683143
120,geopotential,250,0.4905306774129279,1491.5420877165857
6,geopotential,500,0.9936490345021065,102.28269880833729
12,geopotential,500,0.9575737381391023,266.2076764018478
18,geopotential,500,0.938052023531304,322.09785566024027
24,geopotential,500,0.8700539014083849,480.8662839363843
30,geopotential,500,0.8538685995953548,503.0965245966905
36,geopotential,500,0.7821218093643219,638.971496114268
42,geopotential,500,0.7601824945402936,662.7902588350714
48,geopotential,500,0.7003659631155483,777.3705257531382
54,geopotential,500,0.6995285960537154,765.7367584305961
60,geopotential,500,0.6385824372540981,880.7954662385355
66,geopotential,500,0.6279753286139527,880.3054357411187
72,geopotential,500,0.5851969369215587,975.345181211441
78,geopotential,500,0.5937332745301708,941.7572488274283
84,geopotential,500,0.5547298566579569,1031.617273829615
90,geopotential,500,0.5551414249047624,1009.2673353736395
96,geopotential,500,0.5177025045980046,1094.069541758131
102,geopotential,500,0.5363458651512115,1045.3056571893603
108,geopotential,500,0.4989082573045222,1132.2088826445065
114,geopotential,500,0.5098942836962643,1098.1224910506965
120,geopotential,500,0.48565143222226315,1172.9080449392548
6,geopotential,850,0.9917882380790418,83.13015513598053
12,geopotential,850,0.9229311953275513,257.85065957756103
18,geopotential,850,0.8996958089657195,295.8250067046389
24,geopotential,850,0.7915599673091,457.23604660772014
30,geopotential,850,0.7718168631128267,467.0618164628921
36,geopotential,850,0.6622618326895381,615.7969746470859
42,geopotential,850,0.6289612089410255,636.8070168482677
48,geopotential,850,0.5539606415198726,762.791821911928
54,geopotential,850,0.5554323183226033,737.0767549796246
60,geopotential,850,0.48444520121674794,856.6749800104128
66,geopotential,850,0.480712584424876,839.1602986962514
72,geopotential,850,0.43348164840377945,943.8841692565697
78,geopotential,850,0.4312238442488254,906.4816051224728
84,geopotential,850,0.3792984519004706,1012.4654797144807
90,geopotential,850,0.37965659411615715,981.7133712251817
96,geopotential,850,0.3474457091856806,1074.1805876980234
102,geopotential,850,0.3748184668639104,1009.04049373755
108,geopotential,850,0.32809855481447237,1105.180763553132
114,geopotential,850,0.3398000122610351,1058.459462378493
120,geopotential,850,0.3202189506973362,1135.7283327871096
6,specific_humidity,250,0.9367632388537193,1.6695654023162754e-05
12,specific_humidity,250,0.8426899385399379,2.659261520199059e-05
18,specific_humidity,250,0.7545980323871658,3.3016522433416376e-05
24,specific_humidity,250,0.6759536047577225,3.92145082130095e-05
30,specific_humidity,250,0.6107467057495679,4.3865609487296415e-05
36,specific_humidity,250,0.5357125372487721,4.9804431154625944e-05
42,specific_humidity,250,0.4676600030780392,5.424825504486031e-05
48,specific_humidity,250,0.43236697010078573,5.7647311154866716e-05
54,specific_humidity,250,0.3928679201701552,6.055404667895363e-05
60,specific_humidity,250,0.3618283941824244,6.311203889915836e-05
66,specific_humidity,250,0.3139150639137406,6.633528528879562e-05
72,specific_humidity,250,0.28465558041995537,6.947906493001386e-05
78,specific_humidity,250,0.3011288143651643,6.926868167432922e-05
84,specific_humidity,250,0.2901444671049916,7.122353476395082e-05
90,specific_humidity,250,0.29799082488173106,7.209379380442518e-05
96,specific_humidity,250,0.3042245236783663,7.330241634653782e-05
102,specific_humidity,250,0.3019617200352089,7.304854472586281e-05
108,specific_humidity,250,0.30676269951671015,7.377002785887988e-05
114,specific_humidity,250,0.3091669862318809,7.473902534201682e-05
120,specific_humidity,250,0.2701824858749394,7.767481488613129e-05
6,specific_humidity,500,0.9695605486798861,0.00018647860166881607
12,specific_humidity,500,0.9137584272207587,0.0003108606848959689
18,specific_humidity,500,0.8567716076421777,0.00040275348327737303
24,specific_humidity,500,0.7804607018533606,0.0005020625862696099
30,specific_humidity,500,0.7270688534985138,0.000563701225885966
36,specific_humidity,500,0.649163932698512,0.0006434290830537984
42,specific_humidity,500,0.5899588518147763,0.0007038627048092202
